episode_id,show_id,season,episode,rating,votes,episode_title,is_adult,year,runtime_minutes,genre,show_title
20228272,14674086,1,1,7.8,1005,Dream,False,2022,28,"Documentary,Sport",Welcome to Wrexham
21415324,14674086,1,2,8.0,909,Reality,False,2022,27,"Documentary,Sport",Welcome to Wrexham
21417440,14674086,1,3,7.9,820,Rebuilding,False,2022,25,"Documentary,Sport",Welcome to Wrexham
21417456,14674086,1,4,7.8,788,Home Opener,False,2022,24,"Documentary,Sport",Welcome to Wrexham
21417460,14674086,1,5,7.5,759,Fearless,False,2022,25,"Documentary,Sport",Welcome to Wrexham
21871640,14674086,1,6,7.7,737,Hamilton!,False,2022,25,"Documentary,Sport",Welcome to Wrexham
21871652,14674086,1,7,7.0,1052,Wide World of Wales,False,2022,26,"Documentary,Sport",Welcome to Wrexham
21871656,14674086,1,8,7.9,696,Away We Go,False,2022,26,"Documentary,Sport",Welcome to Wrexham
22043332,14674086,1,9,8.4,719,Welcome Home,False,2022,47,"Documentary,Sport",Welcome to Wrexham
22043334,14674086,1,10,7.4,669,Hooligans,False,2022,23,"Documentary,Sport",Welcome to Wrexham
22043336,14674086,1,11,8.0,642,Sack the Gaffer,False,2022,25,"Documentary,Sport",Welcome to Wrexham
22043338,14674086,1,12,7.9,614,Wins and Losses,False,2022,24,"Documentary,Sport",Welcome to Wrexham
22043340,14674086,1,13,7.9,593,Worst Team in the League,False,2022,23,"Documentary,Sport",Welcome to Wrexham
22043342,14674086,1,14,8.5,669,A Hollywood Distraction,False,2022,22,"Documentary,Sport",Welcome to Wrexham
22043348,14674086,1,15,8.0,584,Daggers,False,2022,24,"Documentary,Sport",Welcome to Wrexham
22174954,14674086,1,16,8.5,624,Hello Wembley,False,2022,24,"Documentary,Sport",Welcome to Wrexham
22174958,14674086,1,17,7.3,885,Wromance,False,2022,20,"Documentary,Sport",Welcome to Wrexham
22174962,14674086,1,18,8.7,701,Do or Die,False,2022,44,"Documentary,Sport",Welcome to Wrexham
26225372,14674086,2,1,7.8,513,Welcome Back to Wrexham,False,2023,42,"Documentary,Sport",Welcome to Wrexham
28491995,14674086,2,2,8.3,796,The Quiet Zone,False,2023,21,"Documentary,Sport",Welcome to Wrexham
28677935,14674086,2,3,7.4,448,Nott Yet,False,2023,23,"Documentary,Sport",Welcome to Wrexham
28678150,14674086,2,4,8.2,541,Shaun's Vacation,False,2023,24,"Documentary,Sport",Welcome to Wrexham
28689876,14674086,2,6,7.4,633,Ballers,False,2023,42,"Documentary,Sport",Welcome to Wrexham
28689880,14674086,2,5,7.3,450,First Losers,False,2023,21,"Documentary,Sport",Welcome to Wrexham
28689928,14674086,2,7,8.6,508,Giant Killers,False,2023,42,"Documentary,Sport",Welcome to Wrexham
28689946,14674086,2,8,7.6,399,The Grind,False,2023,32,"Documentary,Sport",Welcome to Wrexham
28689947,14674086,2,9,7.8,413,Glove Triangle,False,2023,30,"Documentary,Sport",Welcome to Wrexham
28689948,14674086,2,10,8.2,551,Gresford,False,2023,23,"Documentary,Sport",Welcome to Wrexham
28689949,14674086,2,11,8.0,485,Yn Codi,False,2023,24,"Documentary,Sport",Welcome to Wrexham
28689950,14674086,2,12,8.9,532,Hand of Foz,False,2023,48,"Documentary,Sport",Welcome to Wrexham
28689952,14674086,2,13,7.1,488,Family Business,False,2023,26,"Documentary,Sport",Welcome to Wrexham
28689953,14674086,2,14,8.2,381,Worst Case Scenario,False,2023,23,"Documentary,Sport",Welcome to Wrexham
28689954,14674086,2,15,9.1,528,Up the Town?,False,2023,38,"Documentary,Sport",Welcome to Wrexham
29964575,14674086,3,1,8.1,175,Welcome to the EFL,False,2024,41,"Documentary,Sport",Welcome to Wrexham
31223364,14674086,3,2,8.1,168,Goals,False,2024,44,"Documentary,Sport",Welcome to Wrexham
31223445,14674086,3,3,7.3,142,Notts Again,False,2024,44,"Documentary,Sport",Welcome to Wrexham
31223501,14674086,3,4,8.1,76,Risky Business,False,2024,40,"Documentary,Sport",Welcome to Wrexham
